"","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94"
"269639",305905261693702,"November","FL",3470.2676,1500,40,43,1,7,37,2,7,0,0,"Foreign Born, Not a US Citizen","5","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"269745",510209996469652,"November","FL",2657.6196,550,40,39,2,NA,54,1,1,0,0,"Foreign Born, Not a US Citizen","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"269941",956193359200840,"November","FL",3495.6282,360,40,39,1,NA,43,2,1,3,4,"Native, Born In US","5","Non-depository credit and related activities (5222, 5223)",9130,"Private, For Profit","No","No","Employed-At Work"
"270059",321220150105606,"November","FL",4140.1419,800,40,39,1,3,41,1,1,2,3,"Foreign Born, US Cit By Naturalization","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"270190",73671530993096,"November","GA",2976.4352,600,40,40,1,NA,54,1,7,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"270312",350750105391001,"November","GA",4114.7361,360,40,39,2,NA,43,1,1,2,10,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"270330",399660425370951,"November","GA",3987.4949,1620,45,39,4,NA,34,1,7,1,4,"Foreign Born, US Cit By Naturalization","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"270345",410009431615633,"November","GA",3928.8109,210,35,43,1,NA,32,1,1,0,0,"Native, Born In US","5","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"270609",399480117240951,"November","GA",3374.1103,458.8,40,37,1,NA,61,1,1,0,0,"Native, Born In US","5","Animal slaughtering and processing (3116)",9130,"Private, For Profit","No","No","Employed-At Work"
"270748",529240092350751,"November","HI",1026.0457,640,40,42,5,1,30,1,7,0,0,"Native, Born In US","9","Pharmacies and drug stores (44611)",9130,"Private, For Profit","No","No","Employed-At Work"
"270923",571255017110271,"November","HI",825.4068,700,67,40,5,NA,25,1,7,0,0,"Native, Born in PR or US Outlying Area","9","Other consumer goods rental (53221, 53222, 53229, 5323)",9130,"Private, For Profit","No","No","Employed-At Work"
"270946",655765501920100,"November","HI",470.2125,1462,40,39,5,NA,45,1,1,1,3,"Native, Born In US","9","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","Yes","","Employed-At Work"
"270951",706106958510860,"November","HI",760.1487,726,44,41,4,NA,50,1,1,1,4,"Foreign Born, US Cit By Naturalization","9","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"271015",507101473510874,"November","HI",730.6736,400,40,39,5,NA,44,1,6,2,8,"Native, Born In US","9","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"271234",10610025029624,"November","ID",772.0037,200,60,40,1,NA,51,1,1,0,0,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"271366",10610152955912,"November","ID",850.1613,600,40,39,1,NA,64,1,1,0,0,"Native, Born In US","8","Waste management and remediation services (562)",9130,"Government - Local","No","Yes","Employed-At Work"
"271674",31691570970970,"November","IL",2812.9623,1153,50,42,1,NA,47,1,1,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"271693",70251570994896,"November","IL",2536.6429,166.5,12,39,1,NA,40,2,5,2,10,"Native, Born In US","3","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"271972",905905341690537,"November","IL",2812.9623,1153.84,45,37,1,NA,46,1,1,2,4,"Foreign Born, US Cit By Naturalization","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"272031",10710054932323,"November","IL",2742.0819,1250,65,39,1,NA,52,1,1,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"272034",10710065596020,"November","IL",2913.0955,1153,50,39,1,NA,60,1,1,0,0,"Native, Born In US","3","Support activities for agriculture and forestry (115)",9130,"Private, For Profit","No","No","Employed-At Work"
"272066",127570401690102,"November","IL",2913.0955,300,40,40,1,NA,61,1,1,0,0,"Native, Born In US","3","** Motor vehicles, parts and supplies, merchant wholesalers (*4231)",9130,"Private, For Profit","No","No","Employed-At Work"
"272183",799730763250951,"November","IL",3768.2841,800,40,39,1,NA,25,1,7,1,3,"Native, Born In US","3","Beverage manufacturing (3121)",9130,"Private, For Profit","No","No","Employed-At Work"
"272245",195965604093856,"November","IN",2899.3161,1850,68,39,1,NA,39,1,6,2,10,"Native, Born In US","3","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"272490",801101430810207,"November","IN",2998.4145,538,40,39,1,NA,27,1,1,0,0,"Native, Born In US","3","Automotive repair and maintenance (8111 exc. 811192)",9130,"Private, For Profit","No","No","Employed-At Work"
"272502",899370505210951,"November","IN",3207.7311,230,40,39,1,NA,43,1,1,2,3,"Native, Born In US","3","Miscellaneous retail stores (4539)",9130,"Private, For Profit","No","No","Employed-At Work"
"272658",45421590992192,"November","IA",1353.5157,1282.5,56,39,1,NA,58,1,7,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"272663",61231590011703,"November","IA",1404.9612,800,40,40,1,NA,45,1,1,1,4,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"272818",960730367811001,"November","IA",2387.6503,1243.3,50,42,1,NA,48,1,1,0,0,"Native, Born In US","4","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"272978",999570080760951,"November","IA",1317.1483,1137.5,55,39,1,NA,29,1,1,0,0,"Native, Born In US","4","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"273052",977050794259970,"November","KS",1152.0831,560,35,40,1,NA,42,1,1,0,0,"Native, Born In US","4","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"273198",910007982310590,"November","KS",1232.1777,1150,40,39,1,NA,38,1,1,0,0,"Native, Born In US","4","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"273212",7201720010293,"November","KS",1555.7106,461.53,60,38,1,3,26,1,7,1,1,"Native, Born Abroad Of US Parent(s)","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"273295",510004942204380,"November","KS",1418.8074,2884.61,70,37,1,NA,47,1,7,1,4,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"273341",13030878200951,"November","KS",1676.0249,950,40,43,5,NA,34,1,1,2,5,"Foreign Born, Not a US Citizen","4","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"273442",910002772635641,"November","KY",2472.3303,350,35,40,1,NA,28,1,7,0,0,"Native, Born In US","6","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"273529",310000982404521,"November","KY",2156.9474,644.8,40,40,1,NA,41,1,1,1,3,"Native, Born In US","6","** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",9130,"Private, For Profit","No","No","Employed-At Work"
"273716",540911078925709,"November","KY",3030.5194,1153.84,70,39,1,NA,61,1,5,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"273742",10009162208091,"November","KY",2459.4916,995.3,42,39,1,NA,27,1,1,2,8,"Native, Born In US","6","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"273774",204203760110703,"November","KY",2175.0114,450,40,39,1,NA,34,1,7,0,0,"Native, Born In US","6","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"274023",299440422910952,"November","LA",634.9119,742.5,45,39,1,NA,35,1,1,1,3,"Native, Born In US","7","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"274026",310001452118432,"November","LA",1382.5174,192,18,39,1,NA,62,2,1,0,0,"Native, Born In US","7","Elementary and secondary schools (6111)",9130,"Government - Local","No","No","Employed-At Work"
"274034",422039015909769,"November","LA",2583.1891,718.4,40,39,2,NA,51,1,7,0,0,"Native, Born In US","7","Nonmetallic mineral mining and quarrying (2123)",9130,"Private, For Profit","No","No","Employed-At Work"
"274174",610009882619042,"November","LA",1519.9729,700,40,37,1,NA,31,1,1,1,3,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"274502",332007015906170,"November","ME",618.6233,1673.07,60,39,1,NA,53,1,7,0,0,"Native, Born In US","1","** Services to buildings and dwellings (5617 exc. 56173)",9130,"Private, For Profit","No","No","Employed-At Work"
"274648",421460455041002,"November","MD",3490.5004,600,40,39,1,NA,20,1,7,0,0,"Native, Born In US","5","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"274701",984084768259130,"November","MD",2181.2651,680,40,39,2,NA,55,1,5,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"274874",499370402620952,"November","MD",2327.1125,730.76,53,39,1,NA,55,1,1,0,0,"Native, Born In US","5","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"274904",530944078525529,"November","MD",2437.4775,1538,40,39,1,NA,64,1,1,0,0,"Native, Born In US","5","Bakeries, except retail (3118 exc. 311811)",9130,"Private, For Profit","No","No","Employed-At Work"
"274948",794609150147200,"November","MD",2815.6154,846,40,41,2,NA,49,1,3,1,4,"Foreign Born, US Cit By Naturalization","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"274997",11482540992396,"November","MD",3722.3897,1100,50,39,1,NA,51,1,1,1,3,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"275003",290745092625049,"November","MD",589.5506,769.23,60,40,1,NA,43,1,1,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"275103",599080650160952,"November","MA",3639.4925,560.25,45,41,2,NA,60,1,5,0,0,"Foreign Born, US Cit By Naturalization","1","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"275226",201140315059516,"November","MA",2447.8871,769,50,40,1,NA,41,1,1,1,4,"Native, Born In US","1","Office supplies and stationery stores (45321)",9130,"Private, For Profit","No","No","Employed-At Work"
"275331",520509976186852,"November","MA",3017.7316,480,40,43,1,NA,54,1,1,0,0,"Native, Born In US","1","** Motor vehicles, parts and supplies, merchant wholesalers (*4231)",9130,"Private, For Profit","No","No","Employed-At Work"
"275344",572760000821002,"November","MA",2752.1906,538,40,39,1,NA,29,1,7,0,0,"Native, Born In US","1","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"275395",805202331510031,"November","MA",2441.2369,135,15,43,1,NA,45,2,1,0,0,"Native, Born In US","1","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"275451",957291629500832,"November","MA",3031.4441,769,50,40,1,NA,52,1,1,0,0,"Native, Born In US","1","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"275689",20610377727954,"November","MI",2967.6193,640,40,43,1,NA,62,1,7,0,0,"Native, Born In US","3","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"275962",37692560992298,"November","MI",2736.2174,720,40,36,1,NA,53,1,5,0,0,"Native, Born In US","3","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"275987",207080513066694,"November","MI",3019.1809,990,55,39,1,NA,39,1,1,0,0,"Native, Born In US","3","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"276113",660530744861002,"November","MI",3058.3039,1060.8,40,39,1,NA,46,1,5,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Government - State","Yes","","Employed-At Work"
"276369",777419650039201,"November","MN",2044.3194,750,40,41,7,NA,60,1,5,0,0,"Native, Born In US","4","** Construction (23)",9130,"Private, For Profit","Yes","","Employed-At Work"
"276385",799800018720752,"November","MN",1545.1678,673.07,70,39,1,NA,63,1,5,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"276426",997459750899201,"November","MN",1643.8947,458.8,40,36,1,NA,64,1,1,0,0,"Native, Born In US","4","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","No","No","Employed-At Work"
"276500",572889170002500,"November","MN",2882.4424,1206.55,55,39,1,NA,48,1,1,1,4,"Native, Born In US","4","** Farm product raw materials, merchant wholesalers (*4245)",9130,"Private, For Profit","No","No","Employed-At Work"
"276573",44502570993492,"November","MN",1987.7879,624,40,40,1,NA,57,1,1,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"276588",187390701740204,"November","MN",2793.9546,826.92,40,40,1,NA,56,1,1,2,10,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"276605",760470010691002,"November","MN",3195.1545,193.75,25,38,1,NA,25,2,1,2,3,"Native, Born In US","4","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"276669",899140187620952,"November","MS",2398.4733,576.92,40,39,2,NA,60,1,1,0,0,"Native, Born In US","6","Legal services (5411)",9130,"Private, For Profit","No","No","Employed-At Work"
"276752",204005403087851,"November","MS",1487.659,2307.69,55,43,1,NA,53,1,1,0,0,"Native, Born In US","6","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"276779",782785100101406,"November","MS",1077.664,150,20,41,1,NA,40,1,1,0,0,"Native, Born In US","6","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"276784",810010122123002,"November","MS",1044.3384,900,40,39,1,NA,35,1,1,2,10,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"276837",2208480810233,"November","MS",1182.7553,600,40,40,1,NA,25,1,7,0,0,"Native, Born In US","6","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"276910",104742080066702,"November","MS",1045.9504,700,50,39,1,NA,30,1,1,1,2,"Native, Born In US","6","Aluminum production and processing (3313)",9130,"Private, For Profit","No","No","Employed-At Work"
"277048",821887003320600,"November","MS",802.0784,408,48,39,1,NA,57,1,1,0,0,"Native, Born In US","6","Plastics product manufacturing (3261)",9130,"Private, For Profit","No","No","Employed-At Work"
"277119",196172090090416,"November","MO",2706.6041,1650,60,40,1,NA,61,1,5,0,0,"Native, Born In US","4","** Lumber and other construction materials, merchant wholesalers (*4233)",9130,"Private, For Profit","No","No","Employed-At Work"
"277152",770997079925229,"November","MO",2156.9283,680,40,39,1,NA,53,1,5,0,0,"Native, Born In US","4","Services incidental to transportation (488)",9130,"Private, For Profit","Yes","","Employed-At Work"
"277160",908209850910228,"November","MO",3808.2456,473.6,49,39,3,NA,55,1,1,0,0,"Native, Born In US","4","Electric power generation, transmission and distribution (Pt. 2211)",9130,"Private, For Profit","No","No","Employed-Absent"
"277235",211597000120054,"November","MO",2777.9707,1210,50,40,1,NA,59,1,1,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"277441",189500701010206,"November","MO",3409.0038,187.5,25,39,1,NA,25,2,7,0,0,"Native, Born In US","4","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"277463",521195006020790,"November","MO",2719.0591,700,50,39,1,1,49,1,1,0,0,"Foreign Born, Not a US Citizen","4","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"277622",203094110300202,"November","MT",366.9397,1200,40,40,1,NA,43,1,7,0,0,"Native, Born Abroad Of US Parent(s)","8","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"277745",851102001130760,"November","MT",359.1861,1384,99,40,1,NA,44,1,5,0,0,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"277899",905901083896640,"November","MT",858.4212,406,32,40,1,NA,28,1,7,0,0,"Native, Born In US","8","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"278095",111130501100305,"November","NE",1318.5152,615.38,70,40,1,NA,47,2,1,0,0,"Foreign Born, Not a US Citizen","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"278096",111130501100305,"November","NE",1129.5522,961.53,70,39,1,NA,50,1,1,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"278185",991689650509309,"November","NE",776.4812,825,45,39,1,NA,62,1,1,0,0,"Native, Born In US","4","** Farm supplies, merchant wholesalers (*42491)",9130,"Private, For Profit","No","No","Employed-At Work"
"278209",305306291110080,"November","NE",1145.8721,1153.84,70,39,1,NA,44,1,1,1,2,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"278241",27693520999096,"November","NV",1050.8615,942,40,40,1,NA,36,1,1,3,8,"Native, Born In US","8","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","Yes","","Employed-At Work"
"278263",110008293595962,"November","NV",1560.2294,1374.75,47,42,2,NA,51,1,1,1,3,"Native, Born In US","8","Waste management and remediation services (562)",9130,"Private, For Profit","Yes","","Employed-At Work"
"278451",303390011096201,"November","NV",1459.5694,942,40,39,1,NA,39,1,5,0,0,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"278476",405701643393402,"November","NV",1382.5887,323.2,40,39,1,1,26,1,7,0,0,"Native, Born In US","8","Couriers and messengers (492)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"278678",10005293909103,"November","NH",760.8582,675,40,37,1,NA,56,1,1,0,0,"Native, Born In US","1","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"278722",241734001730552,"November","NH",804.9708,942,40,39,1,NA,47,1,1,0,0,"Native, Born In US","1","** Miscellaneous durable goods, merchant wholesalers (*4239 exc. 42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"279113",22243540999091,"November","NJ",3034.866,640,40,34,1,1,36,1,5,0,0,"Foreign Born, Not a US Citizen","2","Employment services (5613)",9130,"Private, For Profit","No","No","Employed-At Work"
"279211",154910501900305,"November","NJ",2809.3309,382.5,45,39,1,NA,60,1,1,0,0,"Native, Born In US","2","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"279240",205301451410638,"November","NJ",2993.4653,1540.55,55,40,1,7,45,1,7,0,0,"Foreign Born, Not a US Citizen","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"279300",354394589400868,"November","NJ",3034.866,800,40,39,1,7,38,1,1,3,10,"Foreign Born, Not a US Citizen","2","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"279364",464752501590303,"November","NJ",4449.379,720,40,38,2,NA,64,1,6,0,0,"Native, Born In US","2","Elementary and secondary schools (6111)",9130,"Private, For Profit","No","No","Employed-At Work"
"279495",905909753899594,"November","NJ",4300.9018,845.6,40,39,2,NA,29,1,1,3,5,"Native, Born In US","2","4195",9130,"Private, For Profit","No","No","Employed-At Work"
"279511",927064718359680,"November","NJ",3034.866,600,40,39,1,6,38,1,1,2,8,"Foreign Born, US Cit By Naturalization","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"279530",981004989359090,"November","NJ",2878.6474,180,20,39,1,NA,50,1,1,0,0,"Native, Born In US","2","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"279566",30410015006625,"November","NJ",2644.4089,900,40,39,1,NA,50,1,1,0,0,"Native, Born In US","2","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"279669",265437001550307,"November","NM",1027.843,520,40,39,1,1,47,1,1,0,0,"Native, Born In US","8","Waste management and remediation services (562)",9130,"Government - Local","Yes","","Employed-At Work"
"279673",307015504077541,"November","NM",1761.6745,585,30,40,1,NA,25,1,7,1,1,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"280053",46884101560302,"November","NY",4233.5593,850,55,39,1,4,28,1,1,1,1,"Foreign Born, Not a US Citizen","2","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"280261",406012001130307,"November","NY",3734.3316,1228,80,39,2,NA,56,1,1,1,3,"Foreign Born, US Cit By Naturalization","2","** Construction (23)",9130,"Government - State","Yes","","Employed-At Work"
"280514",4076143305471,"November","NY",3745.398,580,40,39,4,NA,34,1,3,0,0,"Foreign Born, US Cit By Naturalization","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"280628",90096080304541,"November","NY",2989.5909,680,40,39,1,NA,50,1,5,0,0,"Native, Born In US","2","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"280651",147033060014754,"November","NY",3205.6443,750,40,40,1,NA,57,1,1,0,0,"Native, Born In US","2","** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",9130,"Private, For Profit","No","No","Employed-At Work"
"281173",258304530700103,"November","NC",3848.8804,740,45,39,2,NA,25,1,6,0,0,"Native, Born In US","5","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"281195",396925603045778,"November","NC",3892.6555,450,40,39,1,1,50,1,3,0,0,"Foreign Born, Not a US Citizen","5","Animal production (112)",9130,"Private, For Profit","No","No","Employed-At Work"
"281406",48027632300651,"November","NC",3735.9447,1400,50,39,1,NA,58,1,1,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"281459",308055205078701,"November","NC",1676.7262,580,40,39,1,NA,32,1,1,2,10,"Native, Born In US","5","** Recyclable material, merchant wholesalers (*42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"281506",673890150200303,"November","NC",2888.724,538,40,39,1,NA,33,1,1,4,3,"Native, Born In US","5","Nonmetallic mineral mining and quarrying (2123)",9130,"Private, For Profit","No","No","Employed-At Work"
"281546",873042100100800,"November","NC",3459.7435,700,50,39,3,NA,41,1,1,0,0,"Native, Born In US","5","3875",9130,"Private, For Profit","No","No","Employed-At Work"
"281550",927989750219304,"November","NC",4006.427,800,60,39,1,NA,46,1,1,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"281574",30710014832949,"November","NC",2888.724,1649.5,50,43,1,NA,32,1,1,0,0,"Native, Born In US","5","Postal Service (491)",9130,"Government - Federal","No","No","Employed-At Work"
"281617",307090116052797,"November","NC",2994.914,450,40,39,1,NA,40,1,1,1,4,"Native, Born In US","5","Vending machine operators (4542)",9130,"Private, For Profit","No","No","Employed-At Work"
"281764",309260715090815,"November","ND",354.9864,1020,40,41,1,NA,58,1,1,0,0,"Native, Born In US","4","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"281873",22623580991495,"November","ND",508.7455,680,40,39,1,NA,42,1,7,0,0,"Native, Born In US","4","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"281898",123993080027822,"November","ND",345.1877,880,50,37,1,NA,52,1,5,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"281946",530809943145863,"November","ND",477.2142,1035,48,39,1,NA,30,1,1,1,1,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"282401",505602603891189,"November","OH",3449.423,580,40,39,1,NA,28,1,1,1,1,"Native, Born In US","3","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"282435",605902273691089,"November","OH",3050.4412,1425,57,42,1,NA,33,1,1,1,2,"Foreign Born, US Cit By Naturalization","3","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-Absent"
"282459",757390779900823,"November","OH",3483.8056,788,45,39,6,NA,21,1,7,0,0,"Native, Born In US","3","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"282516",930000066271003,"November","OH",2624.1138,175,24,39,1,NA,54,1,1,2,3,"Native, Born In US","3","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"282622",30910025579924,"November","OH",2474.8536,1153.84,60,39,1,NA,53,1,1,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"282664",125913090066602,"November","OH",2938.7221,300,50,39,1,NA,43,1,1,3,14,"Native, Born In US","3","** Recyclable material, merchant wholesalers (*42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"282759",879540201210307,"November","OH",2935.1533,900,40,43,1,NA,34,1,1,2,6,"Native, Born In US","3","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","Yes","","Employed-Absent"
"282813",28030465402871,"November","OK",2249.6893,560,40,39,1,NA,56,1,5,0,0,"Native, Born In US","7","** Drugs, sundries, and chemical and allied products, merchant (wholesalerss*4242, 4246)",9130,"Private, For Profit","No","No","Employed-At Work"
"283303",28134510795497,"November","OR",2243.6815,400,40,33,1,1,37,1,7,0,0,"Foreign Born, Not a US Citizen","9","Commercial and industrial machinery and equipment repair and maintenance (8113)",9130,"Private, For Profit","No","No","Employed-At Work"
"283422",901619550879406,"November","OR",2197.0792,1140.8,50,41,1,NA,44,1,1,0,0,"Native, Born In US","9","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","Yes","","Employed-At Work"
"283462",150370106881004,"November","OR",1905.1521,150,20,39,1,NA,58,1,7,0,0,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"283463",150370106881004,"November","OR",2371.2533,1012.5,45,39,1,NA,29,1,5,0,0,"Native, Born In US","9","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"283545",309406320110236,"November","OR",2015.6079,1844.69,55,40,1,NA,47,1,5,1,4,"Native, Born In US","9","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"283719",61821003140570,"November","PA",3575.542,640,40,39,1,NA,63,1,1,1,4,"Native, Born In US","2","Other consumer goods rental (53221, 53222, 53229, 5323)",9130,"Private, For Profit","No","No","Employed-At Work"
"283933",657498979200891,"November","PA",3469.825,560,40,40,1,NA,49,1,1,2,10,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"283943",710006394612492,"November","PA",3658.8759,710,40,41,1,NA,33,1,1,3,11,"Native, Born In US","2","Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",9130,"Government - Local","Yes","","Employed-At Work"
"284077",86054520695399,"November","PA",3936.7855,700,38,37,1,NA,58,1,1,0,0,"Native, Born In US","2","** Construction (23)",9130,"Government - State","Yes","","Employed-At Work"
"284162",35484520997598,"November","PA",3676.6279,620,40,39,1,NA,34,1,7,0,0,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"284209",251526007440320,"November","PA",3294.2442,382.5,45,41,1,NA,61,1,1,0,0,"Native, Born In US","2","**Newspaper publishers (51111)",9130,"Private, For Profit","No","No","Employed-At Work"
"284451",40411186516404,"November","RI",718.4083,900,55,39,1,NA,43,1,1,2,4,"Foreign Born, US Cit By Naturalization","1","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
